$H_0$,$Ω_{K}$,M_{B}
71.65033402033772,-0.004823075571346584,-19.199985587654155
71.6670897552445,-0.024355874452187763,-19.19677521524022
71.5770399203722,-0.0024207872404679483,-19.20452400137148
71.67059915258157,-0.020681222682063377,-19.196210679300055
71.70111296325379,-0.002025866706777382,-19.201505271475032
71.43832571064242,-0.014879071606398838,-19.206717907608297
71.6297063733017,-0.015060978765939155,-19.20217485269269
71.56235793400543,-0.024781332170420556,-19.201693188061316
71.64709702645555,0.0009395158100127227,-19.203062916126576
71.7024442889292,0.0012098885817666393,-19.19967951554481
71.50046585264441,0.005155458252368949,-19.210023984145046
71.60253391616675,-0.015461100380743182,-19.19992436122947
71.77868968428403,-0.006028307045634079,-19.19750254762069
71.75535470948208,-0.011805674972902705,-19.197626084956735
71.55121713233473,-0.020061196714243397,-19.201245425214037
71.75219253447332,0.02281934537874019,-19.204850633496545
71.65112615457598,0.0024065176206239415,-19.201735642721584
71.59420319910011,-0.013448882560941258,-19.201929910139086
71.61730351038804,-0.003238206288249761,-19.202875296355153
71.65024467623269,-0.01673324108669986,-19.19858012397777
71.59987871549764,-0.005025296254106802,-19.203651597723358
71.46105820551038,-0.014707986388546392,-19.206382862442414
71.61200965195891,-0.0070859162352532165,-19.203060400018515
71.64906724378353,-0.009050097433856128,-19.201954437902153
71.74316971563691,-0.005405539062943811,-19.19766632550794
71.79230187167141,-0.0005454441144495913,-19.19507739583209
71.52646990635746,0.005790385589984289,-19.209245109415082
71.60948489449645,-0.02071296829646596,-19.198298768481926
71.90203118987611,0.009949138214549187,-19.19637757424061
71.68251570479228,-0.01353411544471741,-19.19939723675075
71.52230271027268,-0.015289268984898123,-19.204262885784214
71.74139205647367,0.010402767541791669,-19.202592110374948
71.62267120541617,0.004847703478593451,-19.20283788108343
71.74309821602469,-0.007120885300794329,-19.197821581275477
71.68236372319444,-0.012013365189171166,-19.19800545421303
71.61419150194024,-0.00032314965220315434,-19.200349233568257
71.55734984601705,-0.00588333549732408,-19.205198183044285
71.49805009492091,-0.0212659762436582,-19.203418118993916
71.68573973658324,-0.02735639695682051,-19.195428359507037
71.64375711196465,-0.010738183352278769,-19.20115056008054
71.79806474893915,-0.00036137683947852495,-19.196821905260045
71.75031102121761,-0.0029608890617920033,-19.19679584486485
71.58367880780075,0.005399441751773609,-19.207265212019806
71.56888224180868,-0.021420362966360334,-19.200347294313342
71.76908959033929,0.0010168167477835471,-19.199044948986053
71.65292889991123,-0.018557365994957886,-19.199491979450272
71.47160352578997,-0.014986004830223748,-19.207203099738926
71.7068494822439,0.0012780154645610445,-19.200901807693054
71.60250513158009,0.008347607710321552,-19.204178634436907
71.84568277005171,-0.009778594789946726,-19.193211847616766
71.625168521622,-0.021325163159185735,-19.198913324559296
71.59011156726359,-0.016863329938183166,-19.19823674830794
71.62405208748021,0.009444955415696215,-19.20620033150259
71.54989354004849,-0.015686264086374586,-19.202788352003676
71.70348351936171,-0.02113214993123103,-19.196985696840954
71.81980367306097,-0.014248590415195004,-19.192840024788225
71.70917576575312,-0.009649578061226871,-19.198063384726883
71.52196767699994,-0.010197575736762401,-19.2020217612308
71.6991255108443,0.002339228993318435,-19.201525413474087
71.64684425796713,-0.03161685766364837,-19.19461350932647
71.79604528725694,0.011636982939977267,-19.200079537084722
71.67406573248508,-0.015629840750035852,-19.19962763203853
71.53361787444902,-0.006902576821661658,-19.205579998942596
71.67376650860932,-0.0051235361149371186,-19.20158121347844
71.63180496171613,0.0014016231929676048,-19.202836057248337
71.89337038171769,-0.006794959586305459,-19.19185210321554
71.66904553175894,-0.019462125150335678,-19.198656933512737
71.59039980029824,-0.016501293616522625,-19.19837005059154
71.69494995979706,0.004703599365539995,-19.202379664987372
71.71938700359003,-0.01068480098156896,-19.197240715724156
71.614436380737,-0.031616198848808306,-19.1976601789151
71.75656151034283,-0.0149490037558684,-19.19436897938614
71.73486243664857,-0.016566731294545275,-19.19558237901373
71.48191104846292,-0.008221507334971609,-19.20460933042267
71.6516094495793,-0.0034001606893288624,-19.20192753819459
71.64061210210164,-0.042296410867688816,-19.19240136467476
71.8406429720953,0.009402276061994628,-19.198895693257025
71.74315700584164,-0.0028969298801578974,-19.199991452017866
71.51837222667729,-0.022533394802614605,-19.200869647875642
71.63002609404299,0.006321679912606761,-19.20446377820535
71.5462875727265,-0.006376941292926526,-19.203606211531834
71.87454606670875,-0.0071064878307235246,-19.19246942867639
71.65971131040838,-0.011100125035912206,-19.201503241514907
71.6326180782044,-0.013091959302374227,-19.198438485337615
71.69616232962059,-1.9540379294115395e-05,-19.200875683915086
71.65181019675869,-0.010550914923575194,-19.199813782281712
71.61556433294899,-0.03102145576727204,-19.197663182097894
71.53668600390358,-0.008631930245915478,-19.203764654989488
71.628160659039,-0.02437970471152149,-19.197696719928096
71.43955106184146,-0.013304397266736372,-19.204465105575586
71.62133066288246,-0.008548787602092421,-19.200631805793936
71.68731251037322,-0.02484579135864025,-19.1953023085248
71.8436268543038,0.0037380686949653984,-19.19739174660667
71.7637935225813,-0.0050607394863517495,-19.19921358805233
71.39729117095787,-0.03381731187375939,-19.201426449376203
71.63786182460325,0.005243994721026348,-19.204075602327343
71.52961911083644,-0.0023828192187013396,-19.205706498098394
